Component,Length,Width,Height,Edges,Colors,Material,Elasticity,Connection,Cost (USD)
Comp58,54.39186249525751,30.127810265932435,27.58763025367263,2,4,2,1,1,710.3384847645372
Comp59,95.93060070697973,81.57175692668339,94.12645845961663,4,4,0,1,1,117.18775235414004
Comp60,52.662990440312534,191.49911594521,196.0926536367503,4,0,0,0,0,560.6179764131505
Comp61,35.999068810876345,41.490523891414725,87.6227389238172,1,1,0,2,1,719.595593458738
Comp62,26.5231525270395,181.2768712110062,172.13935891339062,4,0,0,0,0,802.947454171578
Comp63,132.98426994572833,111.04216026507864,27.87653501572281,5,2,0,0,0,31.18972860767107
Comp64,31.94567551297969,94.09772722092433,57.894154968563505,0,1,2,1,1,720.2845206950673
Comp65,43.33356052761043,176.99807499482847,83.73958443013022,4,2,1,0,1,826.5524169143523
Comp66,76.901408278888,94.42777254487424,82.96336730181949,2,3,0,1,1,748.0996418806798
Comp67,165.09367982034735,146.21268913925093,135.91977834067987,1,4,1,2,0,514.7873999273202
Comp68,23.93474877964695,82.80993773210488,72.220034838224,3,3,0,1,0,460.7308582733589
Comp69,168.39925696226675,181.28865661568676,144.18453933995318,0,2,0,2,1,551.6714903833167
Comp70,23.739189539322798,139.55487893728935,129.64144534895155,3,0,0,0,1,706.120480332469
Comp71,195.40959567761217,141.42630057885077,82.83642332468075,1,4,2,1,1,923.299719179323
Comp72,96.38698432130181,68.90547830363818,89.19322489259226,5,4,1,2,0,618.9500345879194
Comp73,195.46841219711575,152.5718353336934,124.83290146301255,1,1,2,0,1,888.3951347520523
Comp74,122.94487635028396,129.03190581219258,18.658227078205705,3,3,3,2,1,702.7505632084988
Comp75,149.15639798266884,51.803953309043365,165.36931397935962,1,2,0,1,0,72.99469555165334
Comp76,12.641619489592532,36.305070384625,132.41712641715918,1,2,0,2,1,503.3240490516137
Comp77,60.147357702399866,160.2963375308797,146.63678056147788,1,2,1,2,0,290.05391657366613
Comp78,28.438329436567937,192.0374875918684,109.69998521106614,4,2,2,2,1,288.7490534919094
Comp79,62.74733851681826,94.33707131570836,26.543036643390224,5,0,2,0,1,359.14791345990426
Comp80,28.15190519607759,120.24191223811856,83.98194459290524,4,2,2,2,0,318.1591081404734
Comp81,67.00671998182533,172.25591561774314,84.04784865546843,2,0,0,2,1,580.7169302165147
Comp82,85.78128393036064,94.15857340400213,67.6033830584273,3,0,1,2,0,685.1834928517893
Comp83,17.50876178801295,190.61552298238357,10.840313356426126,0,1,3,2,1,272.4056401413518
Comp84,140.03206327715387,117.27147659875013,148.76457730631307,3,1,3,1,0,134.11380945553944
Comp85,115.48728357028216,165.04958853675643,26.407969322187636,3,3,2,1,0,63.51467732978979
Comp86,56.75095073319186,182.22452509048398,123.2300859437916,2,2,1,0,1,577.8740808053994
Comp87,107.03337042600644,164.0271446598709,142.12741181110707,5,0,2,2,0,190.19951550133737
Comp88,23.318399597896125,36.08582037254641,128.78333297207047,4,1,2,0,1,14.201754252580876
Comp89,117.30956663345496,127.63519561703158,192.03273913570513,0,2,2,2,1,928.1143139270856
Comp90,186.21275852736176,82.69468043083702,25.14314024160203,0,1,3,1,1,539.4547169878244
Comp91,67.12094572800811,17.22902564455241,174.09759602551384,2,1,3,2,1,96.9859393457379
Comp92,135.14502409291794,87.68628911851918,10.692095795538084,1,3,2,0,0,843.7065065668479
Comp93,30.700583168856475,55.443393043434504,109.30878671078138,3,0,1,2,1,983.2867245986674
Comp94,144.68380480312027,170.5624701435596,83.82750549815546,3,0,3,1,1,451.3576587076286
Comp95,61.434188124704214,11.494402176605757,107.21585277678285,0,1,2,0,1,47.27716019696738
Comp96,40.72231559138778,192.00163076337734,76.1944760267019,3,2,3,2,0,121.95821105228319
Comp97,119.37002228796621,74.29692545202627,42.16054841331327,0,0,0,1,0,384.745477912205
Comp98,8.920971506561242,74.55784362849586,8.728965002494506,4,3,0,2,1,886.0950242616327
Comp99,166.6433056973858,8.18405802332304,106.039213689279,4,0,3,1,1,152.29848588137324
Comp100,5.915617857546678,41.120303421055866,169.34148822354425,0,3,2,0,1,824.870143532682
Comp101,137.17422467526487,83.2456026567037,77.77711137023486,2,2,3,0,1,19.901378917924333
Comp102,57.651554772472146,186.21182637402922,48.45844451292115,3,1,1,2,1,460.10175529188194
Comp103,148.362834313906,24.42491139314791,20.7037406770096,5,2,2,1,0,646.1751552458153
Comp104,192.62676629790045,189.33379902842051,21.635630008147157,5,2,2,0,0,65.07758461546842
Comp105,53.506862986391816,174.55026345659329,48.17230702709058,0,3,2,2,1,616.6889368634043
Comp106,117.35068021147819,93.5616673969726,24.50274187970326,2,2,2,2,1,944.6821008622084
Comp107,120.44817659800862,68.70667194481072,56.682741181074,5,1,1,2,0,164.4586205359121
Comp108,116.5891216292203,50.38510520941609,17.89914511280617,5,0,3,1,0,730.963326120176
Comp109,48.50091836492057,124.8206177629905,17.7929491059355,4,3,3,2,0,611.0484284538256
Comp110,190.78605724581206,11.449545337723595,171.97385502644246,3,3,0,1,1,189.1908069348344
Comp111,92.18944883043733,8.043182567131502,36.61345083822248,3,2,2,2,0,11.172397635819198
Comp112,170.04969113186993,88.61516588715638,114.13806913557235,4,2,0,1,1,14.238028253397442
Comp113,141.39845868691333,18.274444425070442,155.82383116756094,1,2,1,2,1,534.4319471261684
Comp114,63.000205416751065,54.128492707988116,93.99986524111799,0,4,3,2,1,943.0655125133876
Comp115,163.69057484198305,48.126378492486346,34.906931182572414,2,1,3,1,0,646.0771343282844
Comp116,82.318619465162,54.37228277595612,43.9212477134223,2,2,2,0,1,715.7283470622749
Comp117,176.81512343667652,30.55577008697526,89.43192022483024,5,4,3,0,0,496.39615948593445
Comp118,118.34821016399245,7.347063465042583,108.00564738981447,5,3,1,0,0,583.979497921397
Comp119,176.9383955616963,27.519437942055877,73.14085694946431,1,1,1,1,0,130.73568770395045
Comp120,140.04366006516435,125.60365060498583,157.38852204575898,2,4,2,0,0,877.4365172986277
Comp121,146.4245845648299,194.97996149951982,151.4492215269977,2,3,0,2,0,761.9886655234678
Comp122,102.75825447570693,198.11727530437432,185.806302437758,3,0,2,1,1,998.2079580803866
Comp123,191.43630877102865,84.76554859774701,10.645747060257305,0,0,1,0,0,301.2343328178432
Comp124,130.5780888497793,36.77611307908805,179.65980178598966,3,1,3,2,1,230.8826829370776
Comp125,87.65173446884504,129.55854268647323,81.55091375011945,4,4,3,2,1,129.5358496715362
Comp126,123.24667675494526,100.60954257700374,176.28263659909885,5,4,3,1,1,964.3887078329645
Comp127,8.742673670320038,197.93490657046414,139.70303135052328,3,3,1,0,1,781.9807587048834
Comp128,63.80708925153712,17.73432039459714,197.5330076294238,1,0,0,2,1,170.4929906510405
Comp129,133.73383981107358,157.73071547119355,153.06007808475027,0,0,2,0,1,554.9230387526728
Comp130,61.565133406036594,61.23770697964132,76.08620206937339,1,2,0,2,0,416.69936702694037
Comp131,125.5130086547741,52.07663091493193,102.70731870277666,0,4,3,2,1,155.72857776716185
Comp132,88.6098966844244,134.1883914488718,78.39588526289849,0,1,2,1,0,166.26262010481565
Comp133,31.417442523377794,52.98232107323807,76.15780802414143,0,0,1,0,0,963.6526447714598
Comp134,63.165053561426,134.8425279240416,55.87637737930665,2,1,1,2,0,308.4393620429336
Comp135,116.14315758674665,105.8751608544463,101.71420759782657,5,1,0,0,0,941.7320952255235
Comp136,120.22018844339378,87.69735274499061,137.93928928852543,3,2,2,0,0,80.23261969975897
Comp137,116.99342352566786,113.1641226889767,59.08135290452249,2,0,3,0,1,463.49902708172465
Comp138,132.37415987214106,60.9750463843278,107.2540631600579,5,1,0,1,1,133.97095327417628
Comp139,132.16013765032932,142.78206772323088,27.88915736325865,2,0,1,2,0,9.76344831496631
Comp140,89.12659490962493,85.89708952004499,36.16983093656731,3,2,2,0,0,555.9972433375461
Comp141,179.82658619095727,75.306384294749,14.127239168876805,1,3,2,1,0,118.3246342873066
Comp142,76.67456465933982,166.58809833836887,194.2926313402734,5,3,1,0,0,723.4144082790112
Comp143,89.99366042679723,185.36854783087247,5.752768544500913,0,3,3,1,1,699.6257938283651
Comp144,178.92505422805607,13.9714256230229,39.82309377124298,1,1,3,0,0,180.4512429271667
Comp145,162.20782786398672,50.36226360180427,124.5090168578135,1,1,1,0,0,942.033432549189
Comp146,142.25827379037142,72.96127705104983,20.867071776394532,5,1,1,0,0,722.4381913903271
Comp147,24.544243025898716,163.91846347719823,176.9698181038823,4,0,3,1,1,301.4804128361453
Comp148,184.29910968021133,197.17082839044303,145.3259307792462,5,4,0,1,0,710.6875951310367
Comp149,144.27705341207673,193.9494824107186,193.4460444303892,2,0,0,2,1,733.2706262931283
Comp150,199.77516628073397,181.46492738223574,103.98893171194915,0,3,2,2,0,345.5151995947058
Comp151,34.14241940830878,62.82847168748582,63.578718215905006,3,4,2,1,1,378.7106196491519
Comp152,174.28458118680177,198.44219246582244,112.15261169507792,1,2,0,2,0,362.3109751150336
Comp153,36.68612226189309,53.636908006007985,186.50964987310476,4,4,2,1,1,618.5353513343136
Comp154,125.03411503534961,25.65170020203528,106.5484802621628,4,2,0,1,0,900.9080958074785
Comp155,29.144896655641094,190.43575915580183,57.10537121315213,1,1,2,1,0,177.32727004744467
Comp156,170.36160471783572,50.51694981627878,176.09276388895333,5,3,0,2,1,875.8236117871368
Comp157,162.42719695137708,139.50481169016135,77.52415595992996,5,1,2,0,1,32.51489072281579
Comp158,115.97464402984569,16.37949000121479,5.2697532498048325,5,0,2,2,0,662.0369029983314
Comp159,84.40074295906993,147.48827432985786,53.298579386001606,1,1,0,0,0,417.3666788237457
Comp160,18.48756411375192,176.93544140509874,67.05553428952717,5,1,3,2,0,792.3251444713313
Comp161,140.9986107631899,58.12519461586269,172.46160630522093,4,4,0,0,1,722.5921223662484
Comp162,93.44082312222342,78.91609473509857,94.40811757795677,2,2,0,0,1,482.707268109458
Comp163,145.80084189671786,77.98775574757863,91.69452112320364,5,3,1,1,1,645.6447165389837
Comp164,173.9445535560827,151.01371022032595,70.53994194797804,4,1,3,2,1,504.2642650464455
Comp165,195.22669347556274,51.372412295112575,176.73223399418052,4,1,2,0,0,812.4608782687737
Comp166,171.88165176655914,38.51135431429039,189.2802215033763,4,2,3,2,1,478.7035660383908
Comp167,7.284246416075384,92.61187149410893,198.41861418515273,2,0,3,1,1,525.5402100421154
Comp168,75.19572257328096,64.37133943857731,78.46454705739242,2,0,3,1,0,254.26798348509266
Comp169,147.3481596726913,168.64187884043722,193.3987518972984,5,4,1,0,1,607.01780172642
Comp170,38.4677870659809,51.35965607304956,159.41651607802575,2,2,1,1,0,306.3902846264859
Comp171,106.6021382098052,102.96594421040598,136.75938379063203,3,1,2,2,1,579.3975944702671
Comp172,15.595907726154458,188.80380194109642,52.75344848691939,3,0,0,1,0,173.8297249961995
Comp173,43.99932235479802,128.62955106020883,47.209165884120914,3,0,3,1,0,163.671746879453
Comp174,8.611749919819724,174.12143406518064,37.379325781642905,3,3,2,1,0,419.94459248603357
Comp175,159.77105215469703,188.34088942417964,184.93753899394625,0,3,2,1,0,429.6854175349881
Comp176,48.66531417177413,151.39914806783864,62.34494916471739,0,4,1,2,0,271.76871858797637
Comp177,72.34357773589602,141.41713674382652,93.35337786253129,5,0,0,2,0,135.93886611485655
Comp178,185.97585222579022,193.7532854878243,101.32177762750858,0,0,0,0,1,44.01448651782757
Comp179,142.36080837508888,198.9081539812975,156.74346111279957,1,2,1,1,0,30.105668151377063
Comp180,11.20859125860503,93.10522812060313,169.6258175028397,0,3,3,0,0,275.1925385564433
Comp181,37.11536051709299,18.81960674592063,32.11917672397949,5,3,1,0,1,464.54417495112745
Comp182,126.18828829245389,62.09483613090118,88.24635024115938,1,0,2,2,1,727.6120648995964
Comp183,117.55957477781268,34.70916760910744,169.35670312791413,4,4,1,1,1,477.49734221043894
Comp184,51.38910016802918,86.4098430852223,164.5164946223885,0,0,0,1,1,904.5305653381054
Comp185,187.1717295953348,30.601419052284925,24.9706828982212,2,1,3,2,1,40.04370555253004
Comp186,124.72336141334972,122.80297178407199,35.49475302925279,5,3,2,2,0,184.75731843293116
Comp187,109.44839658986687,79.64757153578155,64.31874486188453,3,3,2,2,1,341.821920306292
Comp188,120.03244538914134,179.60024743620096,19.695018471251366,1,2,0,1,0,579.6087071247969
Comp189,147.3737957557701,193.71996100070785,87.80928555391561,5,4,1,0,0,853.4724771044727
Comp190,65.82927411852236,111.64255582553733,25.98545250416847,4,2,2,0,1,353.45094219679356
Comp191,82.65310713213792,58.59059612418134,115.80243076561977,0,3,1,1,0,271.648739091898
Comp192,45.91953105014882,120.48493165855818,53.078603263175445,3,4,2,0,0,66.57972299868126
Comp193,41.30763614666555,179.8684258537599,121.30444774317642,2,0,0,1,1,822.1969603096136
Comp194,189.15261604686705,84.31300243797091,27.917500366209342,4,0,2,1,0,382.7681109906456
Comp195,149.21240503461107,112.65526395493431,195.297354341614,5,4,2,2,1,573.6924444398496
Comp196,100.63946768042558,57.97228968319845,186.8494347521814,2,1,3,1,1,983.6376410803642
Comp197,49.34585245479803,93.81160914275526,81.40040302010983,0,0,2,2,1,6.5865977512731035
Comp198,54.599513945226626,83.33413939902174,52.22482585458666,1,2,0,2,1,149.72288999537164
Comp199,16.315686263155747,53.44062569117935,53.82765150644669,4,0,2,0,0,780.2154390492586
Comp200,89.71124198383355,103.64394484593512,99.26173936446645,0,0,0,2,0,806.1018477817986
Comp201,65.80019698885,65.52426106606322,12.798596370639808,0,1,1,0,1,770.4008834375917
Comp202,140.7869803190146,77.74179845674576,129.74249568464978,1,0,0,1,0,539.3138965876151
Comp203,78.66160866203377,107.36923623958153,84.61906712625024,1,2,1,0,1,978.9626961179408
Comp204,40.02271712412879,151.36602947115256,78.59428165483303,0,2,2,0,0,399.20363719534396
Comp205,9.81235203630959,70.03395582929869,162.8261694403937,1,2,0,0,0,603.9339796225468
Comp206,18.113678135333473,185.2109594910489,143.26191473574156,4,3,3,1,1,68.05215952610406
Comp207,137.48159083222063,173.15211663300096,191.09509400157495,1,0,0,1,1,412.80816265780203
Comp208,93.47088468842884,14.494607715228065,73.62756689665969,4,0,1,2,0,723.8875870723724
Comp209,109.63294616620082,54.46029223008044,180.02083910663407,0,4,1,1,0,242.5451465668458
Comp210,179.85090214286672,91.99642496854437,155.14360131876734,3,1,3,2,0,944.1084511277827
Comp211,198.11609474235735,25.402438304782446,74.69780706096904,0,3,0,1,0,688.3494508050726
Comp212,47.29491195770242,72.95281786153193,126.22476010838527,5,0,2,0,1,291.1375059432836
Comp213,134.30024960451965,149.3190174954481,61.27114174208064,0,2,0,2,0,770.1539280923271
Comp214,56.347863463744375,137.70032382285103,175.50798382959425,0,3,0,1,0,87.74894794906857
Comp215,9.026944895817092,126.36496357037095,26.923326856400696,4,3,0,1,0,974.9005503979042
Comp216,152.88383749804757,143.5530385308574,46.424700452338,3,2,3,1,1,54.038832778190724
Comp217,67.40334441038124,44.960118957141844,40.691491955584624,1,4,3,0,1,933.7886116929747
Comp218,79.7754593635201,71.63113239862277,83.59007046883629,2,0,3,2,0,256.58960835951984
Comp219,119.72183714295312,136.86728404410525,150.32042720626518,4,1,3,2,0,759.034987152436
Comp220,167.05444877105714,176.45077879110877,107.74695256517516,0,4,3,2,1,5.073330935940559
Comp221,127.651459500274,111.01722049647856,100.09688308995047,5,1,2,1,0,257.96888873370176
Comp222,175.1668778122421,60.12643193437964,5.106463154914152,0,1,0,2,0,750.3551036164713
Comp223,58.34069678904898,10.895875311166606,87.95333644423567,2,0,0,2,0,534.6743905428357
Comp224,160.61913261294993,143.5156816499716,17.392986093050894,1,3,2,1,1,119.37738888892929
Comp225,41.19900913966068,6.5374001841458735,45.60938416368935,3,2,2,1,0,396.6615971080889
Comp226,190.7943731095292,77.67241861509413,186.8168180972964,5,1,2,1,0,378.67160830911985
Comp227,139.06021389562397,108.45475683974244,47.00264984693145,0,4,2,1,0,570.3214329600451
Comp228,47.0239970371439,184.81173504460264,172.3758395336812,2,0,3,0,1,669.6371870979167
Comp229,189.73726514534022,22.45143628141552,161.56420745446016,5,0,0,0,1,841.6260912001887
Comp230,147.51688232018077,84.15875278381533,36.03351620373735,5,4,2,2,0,499.7452399924858
Comp231,54.51862030603004,9.741073943480766,123.11383166770437,0,1,1,0,0,395.06160871864427
Comp232,46.595835586658986,71.80914194661011,27.554065021477598,2,1,2,1,0,148.2566514249048
Comp233,106.04913921647933,126.33505647376,146.93819088205473,1,1,0,0,0,805.7988501647736
Comp234,10.004230020633656,59.41824990457668,129.3051440875803,2,4,1,1,0,714.8035533874872
Comp235,45.45666471101633,45.901240182848845,163.32801952974876,0,1,2,0,1,411.63401046741194
Comp236,87.81366640654372,27.56213049878326,98.47998713089167,4,4,3,1,1,520.840148392956
Comp237,77.96314616517398,117.54234758396666,183.39830212750965,5,0,3,2,0,666.8569301898293
Comp238,95.39720775113808,140.57765115141376,14.623044623745743,1,4,1,2,1,168.9815618983001
Comp239,59.13759772747272,136.03164241618535,62.11327018026786,2,2,3,0,0,32.06180543588065
Comp240,119.42294755934292,190.02789904049894,144.43525650570757,4,3,1,1,1,320.916180690752
Comp241,173.45184315503013,5.527126709233026,86.53129629086017,3,3,2,2,1,597.6070945379822
Comp242,27.91871191259645,131.20334750933702,38.72551408287549,3,2,0,1,0,489.17306082505144
Comp243,105.88892589505227,122.07648623403972,25.906095358566475,2,4,1,0,1,694.0918537288114
Comp244,30.753280737304895,119.8042239442062,164.38112673501618,1,3,2,1,1,820.5913565466625
Comp245,144.78763783255576,192.74021236884727,97.26288080080063,0,2,1,1,1,491.00025439662454
Comp246,82.23164204742228,8.28997630715774,177.04531602422594,3,1,0,0,1,138.59568859923573
Comp247,115.25715581240925,140.81407398678277,147.99138119176158,4,2,3,2,0,851.374859799971
Comp248,40.73956806174533,163.66733669186337,84.896610097995,4,3,3,0,1,577.1153756377438
Comp249,33.24531307195856,104.4124033412089,77.83464776035831,4,4,1,1,0,741.2377933789563
Comp250,100.17097472654613,70.12314957137778,105.5494775969941,3,4,0,0,0,706.1413303402501
Comp251,74.34448388074135,159.21383182934395,178.3666908719971,2,4,2,0,1,968.3707124745855
Comp252,188.38422932429853,23.962370498322805,148.76932304426273,5,3,2,1,0,298.83078572413484
Comp253,154.23842449235823,91.19694935733543,6.00482803245953,3,1,2,0,0,706.7802389153657
Comp254,150.98940587085673,106.39071304131345,140.36078101697947,1,4,1,2,0,368.8479514602887
Comp255,181.22534925045701,140.32150013223676,184.30394434663503,1,0,3,2,0,398.4336673140485
Comp256,21.267374911193617,22.722717746319844,143.53887310337586,2,1,1,0,0,234.44166347542787
Comp257,112.67753163486928,49.413102799882886,39.516127405661706,4,2,1,1,1,347.29012477259965
Comp258,118.97283344637493,85.0088047245745,99.28603484835445,3,0,1,0,0,948.5552678999718
Comp259,192.57759381670965,126.54246123892547,32.36162349506678,2,1,2,0,0,296.10799271286294
Comp260,61.96876772454703,177.9573523373964,75.00407927622825,5,3,0,2,1,249.7606529268038
Comp261,51.96161208351213,125.67110280706841,187.73782317840096,0,0,1,2,1,585.2222885814529
Comp262,24.557318741772075,31.024986832312216,185.04453497394812,1,1,2,1,1,261.74577695804584
Comp263,8.20377777033747,196.21312589352007,60.15318617433616,0,1,1,1,1,476.0187969663236
Comp264,186.25821677447715,174.99821827732112,71.22805361240884,0,1,1,1,1,835.0053752734558
Comp265,135.63372658522746,103.03054842333819,122.04150928560232,5,1,2,0,0,234.24831273563967
Comp266,158.10481784451187,184.85785645034343,192.8234725757741,3,4,0,0,0,429.55795512300045
Comp267,59.93737062202007,110.56925478264148,33.82126014275113,5,0,0,0,0,612.4372863449317
Comp268,119.34998240633371,185.04468323838682,55.09874551890048,2,1,3,0,0,547.900779950618
Comp269,17.47127689359132,166.82998687765192,175.34358132170044,0,2,1,1,0,974.849621228161
Comp270,99.69738120725147,193.81585000738798,100.91898518312718,0,1,3,1,0,681.9684031232191
Comp271,195.61155225016714,184.3576481017409,180.29741298427118,4,4,2,1,1,741.2465108381977
Comp272,175.9185228367352,12.02659439857105,41.17599001701937,4,0,1,0,1,967.1211682268996
Comp273,70.94099560818489,39.080540811383294,108.87037455691534,0,0,2,0,1,417.3658351023784
Comp274,192.50618013559222,80.88126203473122,68.62257836662761,3,1,3,1,0,358.60291598574594
Comp275,50.18181716188488,190.66782597260706,66.72579917903283,0,1,2,2,0,48.64311761755064
Comp276,190.11717037105788,63.50563929780627,92.14100796950883,1,2,2,1,1,188.28328498623299
Comp277,188.56865241776723,36.29119055808221,89.45010257474735,2,0,0,0,1,241.0036838914175
Comp278,160.8445045337164,177.82940988687918,74.6826415372011,3,0,1,0,1,187.5869447359818
Comp279,127.93734768902426,92.04691101922457,183.41930021154562,5,0,1,1,0,756.0099737305817
Comp280,175.48615349186466,182.03574089909358,147.6901161594141,4,3,1,2,1,538.2035663697311
Comp281,62.13895547902036,36.24494093242794,146.87166330964828,5,0,2,2,1,669.2956324511749
Comp282,170.54399328601906,133.9179147440794,61.533122670431304,2,0,0,0,1,821.3598500351768
Comp283,125.48595492391715,90.8514318017509,117.65333774178387,1,2,3,0,1,234.62007157946522
Comp284,7.5811872629854005,19.91491996090565,156.93998949385764,3,2,1,0,0,329.29432012239164
Comp285,72.71053599678281,140.8103132072376,160.14012186592655,3,4,2,1,1,709.8184657014139
Comp286,33.88746788489218,53.24275733013497,72.1834398470909,3,2,0,0,1,395.79515117495043
Comp287,196.45673101455938,12.725026903005958,155.32018753088633,4,0,0,0,1,34.12458540053892
Comp288,98.28220987279767,16.689138158666786,148.49930987750793,5,0,1,0,1,437.78044293174355
Comp289,101.99131627223923,16.91031472802353,32.593764696270554,2,0,0,2,1,908.7317209833371
Comp290,129.69714069775108,182.0079267095827,173.85936637046305,1,2,0,2,0,411.97640403491033
Comp291,76.87399819527542,149.2773639766747,91.0576866851801,5,1,2,0,0,335.58767186053325
Comp292,31.69555297869179,180.12215965667835,99.85003753328976,0,3,3,2,0,989.577457530302
Comp293,165.31295797287788,136.15355070282166,92.43198988510947,0,4,0,2,1,646.1934864158281
Comp294,42.0203428210378,108.14328616102222,115.72997028811396,0,1,3,2,1,369.16803633882495
Comp295,104.70720159655893,64.36704104773875,126.12800323657567,2,3,0,2,1,106.50943370698833
Comp296,48.74182065007415,199.60263900909132,102.14501532377396,3,2,0,1,1,788.9101977216891
